menu_group,category,subcategory,suggested_url,page_type,query_count,total_volume,query_1,volume_1,query_2,volume_2,query_3,volume_3,query_4,volume_4,query_5,volume_5
5. Стили,Полароид,Общие,/promt-foto-polaroid/,leaf_split,5,402,промт для фото полароид,333,промт для ии фото на полароид,31,промт для нейросети фото полароид,17,промт на фото в фотобудке,14,фото с кумиром на полароид промт,7
5. Стили,Полароид,Общие,/promt-polaroidnyh-foto/,leaf_split,1,5,промт для полароидных фото,5,,,,,,,,
5. Стили,Полароид,Со знаменитостью,/promt-foto-so-znamenitostyu-polaroid/,leaf,2,96,промт для фото со знаменитостью полароид,84,промт на фото с знаменитостью полароида,12,,,,,,
5. Стили,Портрет,Общие,/promt-foto-portreta/,leaf_split,5,1882,промт для фото портрета,1063,промт для портретного фото,515,промт для ии фото портрет,141,промт студийное фото портрет,111,промт для фото нейросети портрет,52
5. Стили,Портрет,Общие,/promty-ii-portretnye-foto/,leaf_split,3,89,промты для ии портретные фото,44,промты для фото красивый портрет,40,промт для фото четкий детальный портрет,5,,,,
5. Стили,Реалистичное,Общие,/realistichnye-promty-foto/,leaf_split,5,1991,реалистичные промты для фото,1696,промты для ии для реалистичных фото,159,промты для максимально реалистичных фото,53,реалистичное фото промт с описанием,47,промты для реалистичных фото в нейросети,36
5. Стили,Реалистичное,Общие,/promt-fotorealistichnoe-foto-temnoy-studii/,leaf_split,5,102,промт фотореалистичное фото в темной студии,26,промт чтобы сделать реалистичное фото,26,готовые промты для реалистичных фото,25,промт для пар реалистичные фото,18,промт для реалистичной фото как настоящая,7
5. Стили,Реалистичное,С котом,/fotorealistichnoe-foto-koshki-cheloveka-promt/,leaf,1,18,фотореалистичное фото кошки и человека промт,18,,,,,,,,
5. Стили,Ретро,8 марта,/vintazhnoe-foto-marta-promt/,leaf,1,8,винтажное фото на 8 марта промт,8,,,,,,,,
5. Стили,Ретро,Общие,/retro-foto-promt/,leaf,3,733,ретро фото промт,324,винтажное фото промт,220,промт для фото в ретро стиле,189,,,,
5. Стили,Селфи,Общие,/promty-foto-selfi/,leaf,2,272,промты для фото селфи,263,промты для ии фото селфи на пляже,9,,,,,,
5. Стили,Советское / СССР,23 февраля,/promt-foto-sovetskoe-23-fevralya/,leaf,1,49,промт на фото советское 23 февраля,49,,,,,,,,
5. Стили,Советское / СССР,Новый год,/promty-novogodnie-sovetskie-foto/,leaf,3,43,промты новогодние советские фото,17,промт новогоднее фото ссср,14,новогоднее фото в советском стиле промт,12,,,,
5. Стили,Советское / СССР,Общие,/sovetskoe-foto-promt/,leaf_split,5,949,советское фото промт,422,промт фото ссср,210,промт для фото в советском стиле,162,промт для фото советская открытка,119,промт для фото открытки ссср,36
5. Стили,Советское / СССР,Общие,/promt-ii-sovetskoe-foto/,leaf_split,2,42,промт для ии советское фото,26,промт советское фото нейросеть,16,,,,,,
5. Стили,Студийное,В форме,/promty-foto-voennym-studii/,leaf,1,11,промты для фото с военным в студии,11,,,,,,,,
5. Стили,Студийное,Общие,/promt-studiynogo-foto/,leaf,5,1377,промт для студийного фото,873,промт для фото в студии,366,промт для фото ии студийное,103,промт для нейросети фото в студии,28,промты на студийные фото девушек обычные,7
5. Стили,Студийное,С питомцем,/promt-studiynoe-foto-pitomtsa/,leaf,1,13,промт студийное фото питомца,13,,,,,,,,
5. Стили,Черно-белое,Общие,/promt-cherno-beloe-foto/,leaf_split,5,2770,промт черно белое фото,2130,промт на чб фото,253,черно белое фото ии промт,219,черно белое фото нейросеть промт,92,промт чб фото для ии,76
5. Стили,Черно-белое,Общие,/chb-promt-foto-par/,leaf_split,5,100,чб промт фото пар,52,промты для студийных фото черно белые,25,промт для стильного черно белого фото,9,промт для парной фото чб,8,готовый промт для нейросети фото монохром,6
5. Стили,Черно-белое,С котом,/promt-cherno-beloe-foto-kotom/,leaf,1,12,промт черно белое фото с котом,12,,,,,,,,
5. Стили,Черно-белое,С собакой,/promt-foto-sobakoy-chb/,leaf,1,6,промт для фото с собакой в чб,6,,,,,,,,
6. События,14 февраля,В стиле,/promt-foto-stile-14-fevralya/,leaf,1,54,промт для фото в стиле 14 февраля,54,,,,,,,,
6. События,14 февраля,Общие,/promt-foto-14-fevralya/,leaf,3,735,промт для фото на 14 февраля,692,промты для ии фото к 14 февраля,27,примеры промты фото к 14 февраля,16,,,,
6. События,23 февраля,В форме,/promt-foto-23-fevralya-voennyy/,leaf,3,107,промт для фото 23 февраля военный,87,промты для фото 23 февраля моряки,14,промт с 23 февраля по фото сво,6,,,,
6. События,23 февраля,Общие,/promt-foto-23-fevralya/,leaf,3,2028,промт для фото на 23 февраля,1576,ии промты для фото 23 февраля,341,промт для фото поздравления с 23 февраля,111,,,,
6. События,8 марта,Общие,/promt-foto-marta/,leaf,3,807,промт для фото на 8 марта,777,промт на фото подруг на 8 марта,17,готовый промт для фото к 8 марта,13,,,,
6. События,День рождения,Общие,/promt-foto-den-rozhdeniya/,leaf_split,5,2783,промт для фото на день рождения,2149,промт для ии фото на день рождения,293,промт для фото на др,213,промт для фото нейросети на день рождения,102,промт для ии фото на др,26
6. События,День рождения,Общие,/idei-foto-dnem-rozhdeniya-ii-promty/,leaf_split,1,6,идеи фото с днем рождения ии промты,6,,,,,,,,
6. События,Масленица,В стиле,/promt-foto-stile-maslenitsy/,leaf,1,102,промт для фото в стиле масленицы,102,,,,,,,,
6. События,Масленица,Общие,/promt-foto-maslenitsu/,leaf,4,661,промт для фото на масленицу,509,промты для фото ии на масленицу,89,промт для фото нейросети масленица,57,создать промт для фото масленица,6,,
6. События,Новый год,В стиле,/foto-stile-novogodney-otkrytki-promt/,leaf,2,21,фото в стиле новогодней открытки промт,14,промт новогоднее фото в стиле ссср,7,,,,,,
